fmea_id,subsystem,component,function,failure_mode,failure_effect,severity,potential_cause,occurrence,current_prevention_control,current_detection_control,detection,rpn,recommended_action,action_owner,target_completion_date,revised_severity,revised_occurrence,revised_detection,revised_rpn,status
22,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Wire chafing,Short circuit → fire risk or power loss,9,Inadequate routing protection in high-vibration zones,4,Routing guidelines in design SOP,Visual inspection at final assembly,5,180,Add grommets/abrasion sleeves at all frame contact points; add to inspection checklist,QE-Patel,2026-06-25,9,2,3,54,Open
23,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Incorrect pinout,Motor runs in reverse or not at all,7,Wiring error; missing polarization feature,3,Pinout drawing on work instruction,Functional motor spin test at EOL,3,63,Add polarized connector shrouds; implement spin-direction check in EOL software,QE-Nguyen,2026-06-14,7,1,2,14,Complete
24,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Insulation damage,Potential short; degraded signal integrity,7,Handling damage; sharp edge contact,4,Handling SOP,Visual inspection at installation,4,112,Add insulation damage to receiving inspection AQL; improve packaging spec,QE-Brooks,2026-06-25,7,2,3,42,Open
25,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Intermittent connection,Random power loss → flight instability,8,Vibration-induced fretting; poor crimp quality,5,Crimp quality spec in supplier requirements,EOL vibration + continuity test,4,160,Add crimp pull-test to receiving inspection; specify vibration-resistant crimp termination,QE-Osei,2026-07-04,8,3,2,48,In Progress
26,Propulsion,Battery Connector,Connect battery to power distribution,Voltage drop,Reduced power delivery → ESC brownout,7,High contact resistance; oxidation; undersized contact,4,Connector rated spec in BOM,Voltage drop test at EOL,3,84,Add contact resistance measurement to receiving AQL,QE-Torres,2026-06-18,7,2,2,28,In Progress
27,Propulsion,Battery Connector,Connect battery to power distribution,Loose contact,Intermittent power → erratic flight behavior,8,Worn contact spring; incorrect mating cycle count exceeded,4,Mating cycle rating in connector spec,Manual wiggle test + EOL continuity,5,160,Add mating cycle tracker to battery swap log; replace connectors at spec limit,QE-Patel,2026-06-25,8,3,3,72,Open
28,Propulsion,Battery Connector,Connect battery to power distribution,Thermal damage,Connector melts → fire or power loss,9,Current draw exceeds connector rating; poor heat dissipation,3,Connector ampacity spec in BOM,Thermal imaging at EOL under load,3,81,Uprate connector to next ampacity class; add thermal fuse in line,QE-Nguyen,2026-06-18,9,2,2,36,In Progress
29,Propulsion,Battery Connector,Connect battery to power distribution,Reverse polarity risk,Battery connected backwards → immediate ESC/motor damage,10,Symmetric connector allows incorrect mating,2,Polarity labeling on connector and battery,Visual polarity check in work instruction,4,80,Replace with asymmetric keyed connector to physically prevent reverse polarity,QE-Brooks,2026-06-11,10,1,1,10,Complete
30,Propulsion,Battery Connector,Connect battery to power distribution,Contamination at contact surface,Increased resistance → heating → degraded performance,6,"Exposure to oils, dust, moisture in assembly environment",4,Cleanliness spec in assembly area,Visual inspection at assembly,4,96,Add connector cap/plug until mating; add cleaning step to assembly SOP,QE-Osei,2026-06-25,6,2,3,36,Open
31,Propulsion,Fasteners,Mechanically secure propulsion components,Under-torque on critical joint,Joint loosens under vibration → component shift,7,Torque wrench not calibrated; SOP not followed,4,Calibrated torque tools; torque spec in SOP,Torque audit at final assembly,3,84,Add digital torque tool with data logging; flag out-of-spec torques in real time,QE-Torres,2026-06-18,7,2,2,28,In Progress
32,Propulsion,Fasteners,Mechanically secure propulsion components,Wrong fastener grade installed,Insufficient clamp load → joint failure under load,7,Mixed inventory; no grade marking on small fasteners,4,Part number on fastener bags,Visual check at assembly,4,112,Implement kitting by job traveler; add grade stamp requirement to fastener spec,QE-Patel,2026-06-25,7,2,3,42,Open
33,Propulsion,Thermal Interface Material,Conduct heat from ESC to heatsink,Incorrect thickness applied,Thermal resistance above design spec → overheating,6,Manual application variability; no thickness gauge used,5,TIM application procedure in work instruction,Thermal imaging at EOL,4,120,Add shim template for TIM application; add thickness check with feeler gauge,QE-Nguyen,2026-06-18,6,3,3,54,Open
34,Propulsion,Thermal Interface Material,Conduct heat from ESC to heatsink,Dry-out / delamination over thermal cycles,Thermal resistance increases with age,5,Low-grade TIM material; exceeding max operating temp,3,TIM material spec requires thermal conductivity rating,Thermal test at qualification,4,60,Upgrade to phase-change TIM; add thermal cycle qualification test,QE-Brooks,2026-07-04,5,2,3,30,Open
35,Propulsion,Wiring Harness,Transmit power and signal to motor/ESC,Over-length wire routing,Wire caught in rotating propeller → crash,10,No wire length specification; inconsistent assembly,3,Wire routing diagram in work instruction,Visual pre-flight inspection checklist,3,90,Add wire length to BOM; add wire-to-prop clearance check to EOL inspection,QE-Osei,2026-06-11,10,2,1,20,In Progress
