ncr_id,source,date_opened,part_number,part_name,part_serial_number,lot_number,supplier_id,failed_feature,feature_name,gdandt_type,criticality,requirement,actual_result,deviation,tolerance,margin,severity,recommended_disposition,due_date,inspector,inspection_date,status,capa_required
NCR-DRAFT-5010,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0017,LOT-202,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1103 mm,0.1103,0.1,-0.0103,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
NCR-DRAFT-5011,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0020,LOT-202,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.23825 mm,0.23825,0.2,-0.03825,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
NCR-DRAFT-5012,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0020,LOT-202,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.22811 mm,0.22811,0.2,-0.02811,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
NCR-DRAFT-5013,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0020,LOT-202,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.1545 mm,0.1545,0.15,-0.0045,Major,MRB Review,2026-06-11,QE-Nguyen,2024-03-10,Open,Yes
NCR-DRAFT-5014,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0021,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.27394 mm,0.27394,0.2,-0.07394,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5015,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0021,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.34484 mm,0.34484,0.2,-0.14484,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5016,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0021,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.53501 mm,0.53501,0.2,-0.33501,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5017,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0021,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.1208 mm,0.1208,0.05,-0.0708,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5018,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0021,LOT-203,SUP-003,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,Bolt Hole Diameter: 5.0 ± 0.05 mm,Measured: 5.0976 mm,0.0976,0.05,-0.0476,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5019,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0022,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.3499 mm,0.3499,0.2,-0.1499,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5020,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0022,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.74147 mm,0.74147,0.2,-0.54147,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5021,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0022,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0823 mm,0.0823,0.05,-0.0323,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5022,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0022,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1099 mm,0.1099,0.1,-0.0099,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5023,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0022,LOT-203,SUP-003,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,Profile of Outer Bracket Surface: ≤ 0.3 mm relative to Datum A|B|C,Measured: 0.4826 mm,0.4826,0.3,-0.1826,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5024,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.35744 mm,0.35744,0.2,-0.15744,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5025,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.37042 mm,0.37042,0.2,-0.17042,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5026,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.65406 mm,0.65406,0.2,-0.45406,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5027,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.52787 mm,0.52787,0.2,-0.32787,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5028,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0772 mm,0.0772,0.05,-0.0272,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5029,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1282 mm,0.1282,0.1,-0.0282,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5030,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.155 mm,0.155,0.15,-0.005,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5031,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0023,LOT-203,SUP-003,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,Profile of Outer Bracket Surface: ≤ 0.3 mm relative to Datum A|B|C,Measured: 0.6543 mm,0.6543,0.3,-0.3543,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5032,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0024,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.41258 mm,0.41258,0.2,-0.21258,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5033,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0024,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.45838 mm,0.45838,0.2,-0.25838,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5034,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0024,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.1069 mm,0.1069,0.05,-0.0569,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5035,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0024,LOT-203,SUP-003,SLOT_WIDTH,Alignment Slot Width,width,Medium,Alignment Slot Width: 8.0 ± 0.1 mm,Measured: 8.1046 mm,0.1046,0.1,-0.0046,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5036,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0025,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.21179 mm,0.21179,0.2,-0.01179,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5037,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0025,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.32687 mm,0.32687,0.2,-0.12687,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5038,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0025,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.70967 mm,0.70967,0.2,-0.50967,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5039,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0025,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1999 mm,0.1999,0.1,-0.0999,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5040,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0025,LOT-203,SUP-003,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,Bracket Thickness: 6.0 ± 0.1 mm,Measured: 6.1119 mm,0.1119,0.1,-0.0119,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5041,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.20026 mm,0.20026,0.2,-0.00026,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5042,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.24911 mm,0.24911,0.2,-0.04911,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5043,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.25102 mm,0.25102,0.2,-0.05102,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5044,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.49598 mm,0.49598,0.2,-0.29598,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5045,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.0608 mm,0.0608,0.05,-0.0108,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5046,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0026,LOT-203,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.2893 mm,0.2893,0.15,-0.1393,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5047,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0027,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.35402 mm,0.35402,0.2,-0.15402,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5048,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0027,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1199 mm,0.1199,0.1,-0.0199,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5049,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0027,LOT-203,SUP-003,HOLE_DIAMETER,Bolt Hole Diameter,diameter,High,Bolt Hole Diameter: 5.0 ± 0.05 mm,Measured: 4.9395 mm,0.0605,0.05,-0.0105,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5050,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0027,LOT-203,SUP-003,SLOT_WIDTH,Alignment Slot Width,width,Medium,Alignment Slot Width: 8.0 ± 0.1 mm,Measured: 8.1442 mm,0.1442,0.1,-0.0442,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5051,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.39711 mm,0.39711,0.2,-0.19711,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5052,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.22913 mm,0.22913,0.2,-0.02913,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5053,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.66111 mm,0.66111,0.2,-0.46111,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5054,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,MOUNTING_FACE_FLATNESS,Mounting Face Flatness,flatness,High,Mounting Face Flatness: ≤ 0.05 mm relative to Datum A,Measured: 0.088 mm,0.088,0.05,-0.038,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5055,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1283 mm,0.1283,0.1,-0.0283,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5056,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.2399 mm,0.2399,0.15,-0.0899,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5057,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0028,LOT-203,SUP-003,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,Profile of Outer Bracket Surface: ≤ 0.3 mm relative to Datum A|B|C,Measured: 0.4365 mm,0.4365,0.3,-0.1365,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5058,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.36723 mm,0.36723,0.2,-0.16723,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5059,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.30608 mm,0.30608,0.2,-0.10608,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5060,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,HOLE_4_POSITION,Hole 4 True Position,position,High,Hole 4 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.36386 mm,0.36386,0.2,-0.16386,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5061,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,OPP_FACE_PARALLELISM,Opposite Face Parallelism to Datum A,parallelism,High,Opposite Face Parallelism to Datum A: ≤ 0.1 mm relative to Datum A,Measured: 0.1457 mm,0.1457,0.1,-0.0457,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5062,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,MOTOR_BORE_PERP,Motor Bore Perpendicularity to Datum A,perpendicularity,High,Motor Bore Perpendicularity to Datum A: ≤ 0.15 mm relative to Datum A,Measured: 0.2092 mm,0.2092,0.15,-0.0592,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5063,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,OUTER_PROFILE,Profile of Outer Bracket Surface,profile,Medium,Profile of Outer Bracket Surface: ≤ 0.3 mm relative to Datum A|B|C,Measured: 0.6345 mm,0.6345,0.3,-0.3345,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5064,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0029,LOT-203,SUP-003,BRACKET_THICKNESS,Bracket Thickness,thickness,Medium,Bracket Thickness: 6.0 ± 0.1 mm,Measured: 6.1123 mm,0.1123,0.1,-0.0123,Minor,MRB Review,2026-06-18,QE-Patel,2024-04-05,Open,TBD
NCR-DRAFT-5065,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,HOLE_1_POSITION,Hole 1 True Position,position,High,Hole 1 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.22018 mm,0.22018,0.2,-0.02018,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5066,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,HOLE_2_POSITION,Hole 2 True Position,position,High,Hole 2 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.38619 mm,0.38619,0.2,-0.18619,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
NCR-DRAFT-5067,GDT Inspection System,2026-06-04,MMB-001,Drone Motor Mount Bracket,MMB-0030,LOT-203,SUP-003,HOLE_3_POSITION,Hole 3 True Position,position,High,Hole 3 True Position: True Position ≤ ⌀0.2 mm relative to A|B|C,True Position Error: 0.21373 mm,0.21373,0.2,-0.01373,Major,MRB Review,2026-06-11,QE-Patel,2024-04-05,Open,Yes
